X,Date,Time,Player1,Player2,Sets_P1,Sets_P2,P1_G1,P2_G1,P1_G2,P2_G2,P1_G3,P2_G3,P1_G4,P2_G4,P1_G5,P2_G5,HomeWinner,Series_Type,Is_Exciting,P1_Elo,P2_Elo,Elo_Diff,P1_WinRate,P2_WinRate,WinRate_Diff,P1_Streak,P2_Streak
87,6/10/2022,11:20:00,Mikus D.,Cechvala R.,0,3,21,23,4,11,7,11,,,,,0,Sweep,0,1012.0,988.0,24.0,1.0,0.0,1.0,1,0
88,6/10/2022,11:20:00,Romanenko I.,Shkepu S.,3,1,11,9,9,11,11,6,11.0,9.0,,,1,Secure,0,1000.0,1000.8,0.7999999999999545,0.5,0.5,0.0,1,1
89,6/10/2022,11:20:00,Vons V.,Maltsev D.,2,3,11,8,3,11,5,11,11.0,6.0,6.0,11.0,0,Secure,0,1024.0,976.0,48.0,1.0,0.0,1.0,2,0
90,6/10/2022,11:25:00,Melnik V.,Zemiantsev S.,1,3,5,11,11,6,8,11,7.0,11.0,,,0,Secure,0,988.0,988.0,0.0,0.0,0.0,0.0,0,0
91,6/10/2022,11:25:00,Torba R.,Kuzmych V.,3,2,11,9,11,4,11,13,6.0,11.0,11.0,3.0,1,Secure,0,1000.8,976.0,24.799999999999955,0.5,0.0,0.5,1,0
92,6/10/2022,11:30:00,Fedoryshyn I.,Baday M.,0,3,17,19,8,11,8,11,,,,,0,Sweep,0,1011.2,1035.2,24.0,0.6667,1.0,0.33330000000000004,1,3
93,6/10/2022,11:35:00,Sklyarenko A.,Mrykh M.,3,2,8,11,13,11,11,3,5.0,11.0,11.0,6.0,1,Secure,0,1024.0,1000.0,24.0,1.0,0.5,0.5,2,1
94,6/10/2022,11:40:00,Tsoi K.,Ponomarenko O.,2,3,11,7,7,11,11,9,7.0,11.0,7.0,11.0,0,Secure,0,976.0,1000.0,24.0,0.0,0.5,0.5,0,0
95,6/10/2022,11:45:00,Herink J.,Brozek M.,3,1,6,11,11,5,11,9,11.0,4.0,,,1,Secure,0,1023.2,999.2,24.0,1.0,0.5,0.5,2,0
97,6/10/2022,11:50:00,Lutskyi V.,Fylypiv R.,1,3,9,11,11,13,11,5,9.0,11.0,,,0,Secure,0,1034.4,1011.2,23.200000000000045,1.0,0.6667,0.33330000000000004,3,1
98,6/10/2022,11:50:00,Turek T.,Zachar M.,3,1,4,11,11,8,11,6,11.0,8.0,,,1,Secure,0,976.0,1000.0,24.0,0.0,0.5,0.5,0,0
96,6/10/2022,11:50:00,Dubrovin V.,Lipkan D.,3,1,11,9,10,12,11,3,12.0,10.0,,,1,Secure,0,1000.0,976.0,24.0,0.5,0.0,0.5,0,0
99,6/10/2022,11:55:00,Hordiichuk O.,Rak S.,1,3,7,11,7,11,11,5,8.0,11.0,,,0,Secure,0,1012.0,1012.0,0.0,0.6667,0.6667,0.0,1,1
100,6/10/2022,11:55:00,Masko Y.,Baranovskiy S.,3,1,11,3,4,11,11,7,11.0,8.0,,,1,Secure,0,1000.8,1024.0,23.200000000000045,0.5,1.0,0.5,1,2
101,6/10/2022,12:00:00,Sedin V.,Fedoryshyn I.,3,0,11,9,11,8,11,6,,,,,1,Sweep,0,977.2,1000.1,22.899999999999977,0.25,0.5,0.25,0,0
102,6/10/2022,12:00:00,Yakubov M.,Yurenev O.,1,3,10,12,5,11,16,14,7.0,11.0,,,0,Secure,0,1000.0,976.8,23.200000000000045,0.5,0.0,0.5,1,0
103,6/10/2022,12:05:00,Kolbasenko O.,Mishchenko V.,3,1,11,7,5,11,12,10,11.0,8.0,,,1,Secure,0,1000.0,1023.2,23.200000000000045,0.5,1.0,0.5,0,2
104,6/10/2022,12:20:00,Brozek M.,Hrstka T.,3,0,11,8,11,6,11,9,,,,,1,Sweep,0,988.0,989.7,1.7000000000000455,0.3333,0.3333,0.0,0,1
105,6/10/2022,12:20:00,Cechvala R.,Papirnik O.,3,2,11,8,9,11,8,11,11.0,4.0,11.0,7.0,1,Recovery,0,1000.8,1000.0,0.7999999999999545,0.5,0.5,0.0,1,1
106,6/10/2022,12:20:00,Mul S.,Semipeadnii V.,3,0,11,3,14,12,11,6,,,,,1,Sweep,0,1024.0,999.2,24.799999999999955,1.0,0.5,0.5,2,0
107,6/10/2022,12:20:00,Vons V.,Slozka M.,3,2,11,9,5,11,6,11,11.0,8.0,11.0,5.0,1,Recovery,0,1010.4,988.8,21.600000000000023,0.6667,0.3333,0.3334,0,0
